,Action.L,Action.R,Action.U,Action.D,Action.W,Action.C
"[[10.  3.  3.  3.  3.]
 [ 0.  3.  3.  3.  3.]
 [ 0.  3.  3.  3.  3.]
 [ 0.  3.  1.  3.  3.]
 [ 0.  1.  4.  6. 12.]]",-65.69999999999999,188.351035965755,12.584868692379567,-24.583323182443685,-34.278888980836115,215.131037627992
"[[ 0.  3. 13.  3.  3.]
 [ 0.  3.  3.  3.  3.]
 [ 0.  3.  3.  3.  3.]
 [ 0.  3.  1.  3.  3.]
 [ 0.  1. 15.  6.  1.]]",1.1518905314646926,75.64026049572249,-31.71323103975065,175.14609075925188,51.21698254943165,0.0
"[[10.  3.  3.  3.  3.]
 [ 0.  3.  1.  3.  3.]
 [ 0.  1.  4.  6.  1.]
 [ 0.  4.  4.  4.  4.]
 [ 0.  4.  4.  4. 15.]]",0.0,85.46469678801598,-6.535629652570918,-20.901773142129848,-68.35478948896625,97.83954376872708
"[[ 0.  3.  3.  3. 13.]
 [ 0.  3.  3.  3.  3.]
 [ 0.  3.  1.  3.  3.]
 [ 0.  1.  4.  6.  1.]
 [11.  4.  4.  4.  4.]]",-50.19,163.62313114397287,-14.087113355117213,-12.955654606572947,300.53014715786406,-54.70921562417041
"[[ 0.  3.  3.  3.  3.]
 [ 0.  3.  3.  3.  3.]
 [11.  3.  1.  3. 13.]
 [ 0.  1.  4.  6.  1.]
 [ 0.  4.  4.  4.  4.]]",-110.5455792812636,-25.964379224114023,-94.1167415856852,-51.0,40.706608799368816,-105.65510999999998
"[[ 0.  3.  3.  3.  3.]
 [ 0.  3.  1.  3.  3.]
 [11.  1.  4.  6. 11.]
 [ 0.  4.  4.  4.  4.]
 [ 0.  4.  4.  4.  4.]]",-65.69999999999999,-35.15517058186996,-71.58164158568519,-58.62576564126764,-1.8312999635370204,-38.1
"[[ 0.  0.  3.  3.  3.]
 [ 0.  0.  3.  3.  3.]
 [11.  0.  3.  1. 13.]
 [ 0.  0.  1.  4.  6.]
 [ 0.  0.  4.  4.  4.]]",-98.022673257,-27.48663730877078,-71.58164158568519,-65.69999999999999,-21.78385772476001,-129.4271163
"[[ 3.  3.  3.  3.  3.]
 [ 3.  3.  3.  3.  3.]
 [14.  1.  3.  3. 13.]
 [ 1.  4.  6.  1.  1.]
 [ 4.  4.  4.  4.  4.]]",-91.5188040063816,-35.15517058186996,-71.58164158568519,-75.98999999999998,103.58031221543344,-38.1
"[[ 0.  3.  3.  3.  3.]
 [ 0.  3.  3.  3.  3.]
 [11.  3.  3.  3. 13.]
 [ 0.  3.  1.  3.  3.]
 [ 0.  1.  4.  6.  1.]]",-85.98879069566483,-30.56533925232804,-75.69879069566484,-89.02548693904234,-21.78385772476001,-79.47
"[[11.  3.  3.  3.  3.]
 [ 0.  3.  3.  3.  3.]
 [ 0.  3.  1.  3.  3.]
 [ 0.  1.  4.  6.  1.]
 [ 0.  4.  4.  4. 14.]]",-91.29299999999998,-134.8130493,-83.19299999999998,-96.963,-95.969418282796,-112.058577
"[[11.  3.  3.  3.  3.]
 [ 0.  3.  3.  3.  3.]
 [ 0.  3.  3.  3.  3.]
 [ 0.  3.  1.  3.  3.]
 [ 0.  1.  4.  6. 11.]]",-59.1,-78.378,0.0,-65.69999999999999,-29.386022767140744,-118.8492
"[[11.  3.  3.  3.  3.]
 [ 0.  3.  1.  3.  3.]
 [ 0.  1.  4.  6.  1.]
 [ 0.  4.  4.  4.  4.]
 [ 0.  4.  4.  4. 14.]]",-30.0,-38.1,-65.69999999999999,-30.0,-86.89048986003823,-59.1
"[[ 0.  3. 14.  3.  3.]
 [ 0.  3.  3.  3.  3.]
 [ 0.  3.  1.  3.  3.]
 [ 0.  1.  4.  6.  1.]
 [ 0.  4. 14.  4.  4.]]",-109.7346393,-135.00360869999997,-83.19299999999998,-93.48,-124.81971,-131.974347
"[[ 0.  0. 14.  3.  3.]
 [ 0.  0.  3.  3.  3.]
 [ 0.  0.  3.  1.  3.]
 [ 0.  0.  1.  4.  6.]
 [ 0.  0. 14.  4.  4.]]",-89.75999999999999,-30.0,-75.98999999999998,-112.47029999999998,-64.77,-117.3183
"[[ 3.  3. 14.  3.  3.]
 [ 3.  3.  3.  3.  3.]
 [ 3.  1.  3.  3.  3.]
 [ 1.  4.  6.  1.  1.]
 [ 4.  4. 14.  4.  4.]]",-79.47,-124.094031,-93.70938,-103.119,-91.8873,-99.8253
"[[ 0.  3. 14.  3.  3.]
 [ 0.  3.  1.  3.  3.]
 [ 0.  1.  4.  6.  1.]
 [ 0.  4.  4.  4.  4.]
 [ 0.  4. 14.  4.  4.]]",-93.729,-109.072101,-75.98999999999998,-118.884309,-108.7524,-38.1
"[[ 0.  3. 14.  3.  3.]
 [ 0.  3.  3.  3.  3.]
 [ 0.  3.  3.  3.  3.]
 [ 0.  3.  1.  3.  3.]
 [ 0.  1. 14.  6.  1.]]",-79.47,-98.51853,-30.0,-83.439,-106.602,-85.14
"[[ 0.  3.  3.  3. 14.]
 [ 0.  3.  3.  3.  3.]
 [ 0.  3.  1.  3.  3.]
 [ 0.  1.  4.  6.  1.]
 [10.  4.  4.  4.  4.]]",-111.97419899999996,-65.69999999999999,-83.19299999999998,-73.8,-129.80868141,-75.25524213124262
"[[ 0.  3.  3.  3. 14.]
 [ 0.  3.  3.  3.  3.]
 [ 0.  3.  3.  3.  3.]
 [ 0.  3.  1.  3.  3.]
 [10.  1.  4.  6.  1.]]",-84.08999999999999,-92.6058267,-75.98999999999998,-59.1,-122.04140999999998,0.0
